IDLopHoc,IDSinhVien,MaMonHoc,HocKy,NamHoc,DiemTongKet,QuaMon,DiemTBMon,TenMonHoc,ThuocKCNTT,DotHoc,GioiTinh,MaHoa_XepLoai
25933,1677250,3395,HK1,2020-2021,8.9,1,7.49,Logic học,0,2,1,4
25933,1677250,3197,HK1,2019-2020,8.0,1,7.52,Kỹ năng xây dựng kế hoạch,0,3,1,3
25933,1677250,3203,HK2,2019-2020,7.6,1,7.19,Âm nhạc – Nhạc lý và Guitar căn bản,0,4,1,3
25933,1677250,901,HK1,2020-2021,9.5,1,5.87,Cấu trúc rời rạc,1,4,1,5
25933,1677250,1076,HK1,2020-2021,7.9,1,7.77,Tương tác người máy,1,5,1,3
25933,1677250,3453,HK1,2021-2022,7.7,1,8.09,Tiếp thị điện tử,1,5,1,3
25933,1677250,3893,HK2,2020-2021,9.3,1,7.15,Quản trị bán hàng,0,6,1,5
25933,1677250,4032,HK2,2020-2021,8.4,1,6.46,Quản trị vận hành và Chuỗi cung ứng,0,6,1,3
25933,1677250,1295,HK2,2020-2021,7.6,1,6.88,Quản trị nguồn nhân lực,0,7,1,3
25933,1677250,1366,HK1,2021-2022,8.3,1,6.58,Automat & ngôn ngữ hình thức,1,7,1,3
25933,1678332,3345,HK2,2018-2019,8.3,1,7.93,Vật lý đại cương,0,2,0,3
25933,1678332,3196,HK1,2019-2020,6.4,1,7.51,Giao tiếp kinh doanh,0,3,0,2
25933,1678332,3203,HK2,2019-2020,7.5,1,7.19,Âm nhạc – Nhạc lý và Guitar căn bản,0,4,0,3
25933,1678332,901,HK1,2023-2024,3.5,0,5.87,Cấu trúc rời rạc,1,4,0,0
25933,1678332,1076,HK1,2021-2022,6.0,1,7.77,Tương tác người máy,1,5,0,2
25933,1678332,3893,HK2,2020-2021,7.8,1,7.15,Quản trị bán hàng,0,6,0,3
25933,1678332,3443,HK2,2021-2022,4.5,1,5.99,Khai thác dữ liệu và ứng dụng,1,6,0,1
25933,1678332,1295,HK2,2021-2022,6.6,1,6.88,Quản trị nguồn nhân lực,0,7,0,2
25933,1678332,2330,HK2,2022-2023,7.9,1,6.81,Lập trình phân tích dữ liệu 2,1,7,0,3
25933,1678603,3345,HK2,2018-2019,8.6,1,7.93,Vật lý đại cương,0,2,0,4
25933,1678603,3205,HK1,2019-2020,6.3,1,6.34,Quản trị doanh nghiệp,0,3,0,2
25933,1678603,3195,HK2,2019-2020,7.7,1,7.62,Xã hội học,0,4,0,3
